,City,Cloud Cover,Country,Date,Humidity,Latitude,Longitude,Highest Temperature,Wind Speed
95,Tuatapere,0,NZ,2019-09-05 03:36:07,69,-46.13,167.69,53.01,5.99
96,Yenagoa,89,NG,2019-09-05 03:36:09,94,4.92,6.26,74.38,2.62
97,Castro,0,CL,2019-09-05 03:33:24,81,-42.48,-73.76,32.0,4.7
98,Bethel,90,US,2019-09-05 03:35:14,76,60.79,-161.76,57.2,14.99
99,Raudeberg,100,NO,2019-09-05 03:36:12,81,61.99,5.14,50.0,18.34
100,Itarema,33,BR,2019-09-05 03:36:14,83,-2.92,-39.92,75.64,9.35
101,Wanning,0,AT,2019-09-05 03:36:15,87,48.64,13.53,54.0,3.36
102,Dikson,100,RU,2019-09-05 03:36:01,99,73.51,80.55,43.3,19.86
103,Haimen,64,CN,2019-09-05 03:36:17,87,31.87,121.18,87.01,9.57
104,Butaritari,100,KI,2019-09-05 03:36:19,71,3.07,172.79,84.72,8.43
105,Sokolo,79,ML,2019-09-05 03:36:20,62,14.74,-6.12,82.5,6.96
106,Bredasdorp,49,ZA,2019-09-05 03:34:06,86,-34.53,20.04,39.2,4.56
107,Saint-Philippe,90,CA,2019-09-05 03:36:23,67,45.36,-73.48,61.0,3.36
108,Mogadishu,40,SO,2019-09-05 03:36:24,74,2.04,45.34,78.8,10.29
109,Katsuura,75,JP,2019-09-05 03:36:25,88,33.93,134.5,84.2,2.24
110,Liverpool,40,GB,2019-09-05 03:32:51,76,53.41,-2.98,55.99,10.29
111,Ambunti,100,PG,2019-09-05 03:36:28,99,-4.22,142.82,71.11,3.67
112,Madison,1,US,2019-09-05 03:36:29,87,43.07,-89.38,60.01,3.36
113,Otane,100,NZ,2019-09-05 03:36:30,84,-39.89,176.62,62.01,6.24
114,Kodiak,1,US,2019-09-05 03:36:31,88,39.95,-94.76,68.0,6.93
115,Gunjur,75,GM,2019-09-05 03:36:33,94,13.18,-16.76,77.0,15.5
116,Tura,54,RU,2019-09-05 03:36:34,49,64.27,100.22,43.26,14.81
117,Hasaki,75,JP,2019-09-05 03:36:35,78,35.73,140.83,80.6,4.7
118,Mareeba,56,AU,2019-09-05 03:36:37,44,-16.99,145.42,81.0,8.05
119,Gaziantep,0,TR,2019-09-05 03:36:38,37,37.06,37.38,69.8,2.24
120,Ulaangom,100,MN,2019-09-05 03:36:39,87,49.98,92.07,53.63,4.09
121,Upernavik,100,GL,2019-09-05 03:36:40,88,72.79,-56.15,42.34,15.66
122,Arcata,90,US,2019-09-05 03:33:47,93,40.87,-124.08,61.0,11.92
123,Torbay,90,CA,2019-09-05 03:36:43,93,47.66,-52.73,64.99,10.29
124,Avarua,98,CK,2019-09-05 03:36:44,60,-21.21,-159.78,75.2,16.11
125,Houma,0,CN,2019-09-05 03:36:46,33,35.63,111.36,81.87,7.07
126,Pevek,83,RU,2019-09-05 03:36:00,82,69.7,170.27,41.05,6.02
127,Fuxin,21,CN,2019-09-05 03:36:48,66,42.02,121.65,76.13,7.61
128,Fairbanks,90,US,2019-09-05 03:33:47,51,64.84,-147.72,60.8,8.05
129,Portland,1,US,2019-09-05 03:35:01,72,43.66,-70.25,68.0,6.93
130,Areosa,0,PT,2019-09-05 03:36:52,63,41.72,-8.86,66.99,10.29
131,Cherskiy,0,RU,2019-09-05 03:36:53,32,68.75,161.3,55.83,4.07
132,Celestun,0,MX,2019-09-05 03:36:54,84,20.87,-90.4,82.92,16.91
133,Vanimo,100,PG,2019-09-05 03:36:56,77,-2.67,141.3,78.22,3.96
134,Ambon,0,FR,2019-09-05 03:36:57,93,47.55,-2.56,57.99,5.82
135,Kargil,0,PK,2019-09-05 03:36:58,35,34.56,76.13,50.48,5.21
136,Barstow,40,US,2019-09-05 03:36:59,32,31.46,-103.39,84.99,5.82
137,Orotina,0,CR,2019-09-05 03:37:01,94,9.91,-84.53,71.01,1.12
138,Dunedin,100,NZ,2019-09-05 03:33:42,80,-45.87,170.5,50.0,20.0
139,Deurne,90,BE,2019-09-05 03:37:03,82,51.21,4.47,59.0,10.29
140,Kearney,1,US,2019-09-05 03:32:54,82,40.7,-99.08,69.8,6.93
141,Leninskoye,20,RU,2019-09-05 03:37:06,87,54.82,82.85,53.6,2.24
142,Owando,95,CG,2019-09-05 03:37:07,96,-0.49,15.91,70.66,1.66
143,Campeche,5,MX,2019-09-05 03:36:26,74,19.84,-90.54,84.2,11.41
144,Mar del Plata,0,AR,2019-09-05 03:36:04,57,-46.43,-67.52,32.37,7.85
145,Bilibino,0,RU,2019-09-05 03:37:11,32,68.06,166.44,49.74,4.79
146,Damietta,0,EG,2019-09-05 03:37:12,72,31.42,31.81,76.67,4.63
147,Dalaba,100,GN,2019-09-05 03:37:13,98,10.69,-12.25,68.52,1.81
148,Polignano a Mare,5,IT,2019-09-05 03:37:14,82,41.0,17.22,73.0,5.82
149,Bathsheba,20,BB,2019-09-05 03:37:16,88,13.22,-59.52,80.6,10.29
150,Kaitangata,94,NZ,2019-09-05 03:33:24,55,-46.28,169.85,53.01,8.99
151,Mahebourg,40,MU,2019-09-05 03:37:18,83,-20.41,57.7,73.99,10.29
152,Mataura,49,NZ,2019-09-05 03:37:20,69,-46.19,168.86,53.01,5.99
153,Guerrero Negro,0,MX,2019-09-05 03:37:21,83,27.97,-114.04,73.2,9.8
154,Chaves,65,BR,2019-09-05 03:37:22,77,-0.16,-49.99,80.2,10.92
